3.0273,2.9634,2.9188,2.8826,2.8511,2.8226,2.7961,2.771,2.7469,2.7234,2.7005,2.6777,2.6552,2.6325,2.6098,2.5868,2.5636,2.5398,2.5156,2.4908,2.4654,2.4392,2.4121,2.3842,2.3554,2.3255,NA,NA,NA,NA
3.0338,2.9713,2.9277,2.8924,2.8618,2.8341,2.8084,2.7841,2.7608,2.7382,2.716,2.6941,2.6724,2.6506,2.6288,2.6068,2.5844,2.5617,2.5385,2.5147,2.4903,2.4651,2.4392,2.4123,2.3845,2.3556,2.3257,NA,NA,NA
3.0403,2.979,2.9365,2.9021,2.8723,2.8454,2.8205,2.7969,2.7744,2.7525,2.7311,2.71,2.6891,2.6682,2.6472,2.626,2.6046,2.5828,2.5606,2.5378,2.5144,2.4903,2.4654,2.4396,2.4129,2.3851,2.3561,2.326,NA,NA
3.0468,2.9867,2.9451,2.9116,2.8826,2.8565,2.8323,2.8095,2.7877,2.7666,2.7459,2.7256,2.7054,2.6853,2.6651,2.6448,2.6242,2.6033,2.582,2.5602,2.5378,2.5147,2.4908,2.4661,2.4405,2.4138,2.3859,2.3568,2.3264,NA
3.0532,2.9944,2.9537,2.921,2.8928,2.8674,2.844,2.8219,2.8007,2.7803,2.7604,2.7408,2.7214,2.702,2.6826,2.6631,2.6434,2.6233,2.6029,2.582,2.5606,2.5385,2.5156,2.492,2.4674,2.4418,2.415,2.3871,2.3577,2.3269
3.0596,3.002,2.9623,2.9304,2.9029,2.8783,2.8555,2.8341,2.8137,2.7939,2.7747,2.7558,2.7371,2.7184,2.6998,2.6811,2.6621,2.6429,2.6233,2.6033,2.5828,2.5617,2.5398,2.5172,2.4937,2.4692,2.4436,2.4167,2.3885,2.3589
3.0661,3.0096,2.9709,2.9398,2.913,2.8891,2.867,2.8462,2.8264,2.8074,2.7888,2.7706,2.7525,2.7346,2.7167,2.6987,2.6805,2.6621,2.6434,2.6242,2.6046,2.5844,2.5636,2.5419,2.5195,2.4961,2.4716,2.4459,2.4189,2.3904
3.0726,3.0173,2.9795,2.9492,2.9231,2.8998,2.8784,2.8583,2.8392,2.8207,2.8028,2.7852,2.7679,2.7506,2.7334,2.7161,2.6987,2.6811,2.6631,2.6448,2.626,2.6068,2.5868,2.5662,2.5448,2.5225,2.4991,2.4746,2.4488,2.4215
3.0792,3.0251,2.9881,2.9586,2.9333,2.9107,2.8899,2.8704,2.8519,2.8341,2.8168,2.7998,2.7831,2.7666,2.75,2.7334,2.7167,2.6998,2.6826,2.6651,2.6472,2.6288,2.6098,2.5902,2.5697,2.5485,2.5262,2.5029,2.4783,2.4523
3.0859,3.033,2.9969,2.9682,2.9435,2.9216,2.9014,2.8826,2.8647,2.8475,2.8308,2.8145,2.7984,2.7824,2.7666,2.7506,2.7346,2.7184,2.702,2.6853,2.6682,2.6506,2.6325,2.6138,2.5944,2.5742,2.553,2.5308,2.5074,2.4827
