1.2847,1.2847,1.2847,1.2847,1.2847,1.2847,1.2846,1.2844,1.284,1.2832,1.282,1.2801,1.2775,1.2741,1.2698,1.2643,1.2577,1.2497,1.2401,1.2288,1.2154,1.1995,1.1805,1.1573,1.1279,1.0869,NA,NA,NA,NA,NA
1.2953,1.2952,1.2952,1.2952,1.2952,1.2952,1.2952,1.295,1.2946,1.2939,1.2928,1.2911,1.2887,1.2856,1.2815,1.2765,1.2704,1.263,1.2543,1.244,1.2319,1.2177,1.2011,1.1813,1.1573,1.1271,1.0854,NA,NA,NA,NA
1.3048,1.3048,1.3048,1.3048,1.3048,1.3048,1.3047,1.3046,1.3042,1.3036,1.3025,1.301,1.2988,1.2959,1.2921,1.2874,1.2817,1.2749,1.2668,1.2574,1.2463,1.2335,1.2185,1.2011,1.1805,1.1557,1.1247,1.0822,NA,NA,NA
1.3134,1.3134,1.3134,1.3134,1.3134,1.3134,1.3133,1.3132,1.3129,1.3123,1.3113,1.3099,1.3078,1.3051,1.3016,1.2972,1.2919,1.2855,1.2779,1.2691,1.2589,1.2471,1.2335,1.2177,1.1995,1.1781,1.1526,1.1208,1.0775,NA,NA
1.3211,1.3211,1.3211,1.3211,1.3211,1.3211,1.321,1.3209,1.3206,1.3201,1.3191,1.3178,1.3158,1.3133,1.31,1.3058,1.3008,1.2948,1.2877,1.2794,1.2699,1.2589,1.2463,1.2319,1.2154,1.1964,1.1742,1.1478,1.1152,1.0711,NA
1.3279,1.3279,1.3279,1.3279,1.3279,1.3279,1.3278,1.3277,1.3274,1.3269,1.3261,1.3248,1.3229,1.3205,1.3174,1.3134,1.3087,1.303,1.2963,1.2884,1.2794,1.2691,1.2574,1.244,1.2288,1.2115,1.1916,1.1686,1.1414,1.108,1.0631
1.3338,1.3338,1.3338,1.3338,1.3338,1.3338,1.3338,1.3337,1.3334,1.3329,1.3321,1.3309,1.3291,1.3268,1.3238,1.3201,1.3155,1.3101,1.3037,1.2963,1.2877,1.2779,1.2668,1.2543,1.2401,1.2241,1.206,1.1853,1.1615,1.1334,1.0991
1.339,1.339,1.339,1.339,1.339,1.339,1.3389,1.3388,1.3386,1.3381,1.3374,1.3362,1.3345,1.3323,1.3294,1.3258,1.3215,1.3162,1.3101,1.303,1.2948,1.2855,1.2749,1.263,1.2497,1.2347,1.2178,1.1988,1.1773,1.1526,1.1237
1.3434,1.3434,1.3434,1.3434,1.3434,1.3434,1.3433,1.3432,1.343,1.3426,1.3418,1.3407,1.3391,1.3369,1.3342,1.3307,1.3265,1.3215,1.3155,1.3087,1.3008,1.2919,1.2817,1.2704,1.2577,1.2435,1.2276,1.2099,1.19,1.1676,1.142
1.3471,1.3471,1.3471,1.3471,1.3471,1.3471,1.347,1.3469,1.3467,1.3463,1.3456,1.3445,1.3429,1.3408,1.3382,1.3348,1.3307,1.3258,1.3201,1.3134,1.3058,1.2972,1.2874,1.2765,1.2643,1.2508,1.2357,1.2189,1.2003,1.1796,1.1562
